,tweet_text
772,"RT @Memeghnad: Coronil - A drug that cures coronavirus in 14 days.

The only thing you need to do after taking the drug is keep yourself lo…"
773,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
774,RT @Samisonlysam: Patanjali launches a medicine for the treatment of Corona. It is Named Coronil which is said to be pure herbal and is ver…
775,"who is responsible if any child will suffer by corona -covid-19 
tell us @AnuragTyagi @HRDMinistry @narendramodi… https://t.co/RVUtgkcypF"
776,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
777,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
778,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
779,"The recently held Trump rally in Oklahoma,one of the Covid-19 hotspots,for those who beleive in Corona,how many peo… https://t.co/dpl3kDnu6K"
780,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
781,"RT @IndyLiveRadio: Today's highlights on #indyliveradio : 

10am  - Clacks WFI podcast
11am - The Locker Room 
Noon - The Corona Diaries
2p…"
782,"RT @IndyLiveRadio: Today's highlights on #indyliveradio : 

10am  - Clacks WFI podcast
11am - The Locker Room 
Noon - The Corona Diaries
2p…"
783,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
784,"హీరోయిన్ సమంత కి Covid-19 భయం😌👇🎥...
Do watch the video n do like comment share n dont forget to subscribe my channe… https://t.co/vX1RPgeGKr"
785,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
786,"#WeHaveYourBack #PioneerGivesBack # Covid-19
#InstantPrizes #Money #Corona https://t.co/oaV1iXYQ3b"
787,"RT @HumAngle_: The ruler of Kawuri Kukoki said, ""what we are going through will not allow us to see the corona, many have been raped, kille…"
788,"RT @shirodkarharshu: Positive News!

Patanjali launches 'Made in India' ayurvedic COVID-19 medicines named #CORONIL

69% patient recovered…"
789,"RT @TheOliveKnife: In COVID-19

CO stands for corona
VI for virus
D for disease &amp; 19 for 2019

But according to Madarsa educated Pigistan m…"
790,"RT @GraminAnkit: #PatanjaliAyurved launched #CORONIL, which it claims is the first Ayurvedic cure for treating COVID-19, 100% recovery in 3…"
791,"RT @tamrakar72: #Patanajli launches first COVID-19 Ayurvedic medicine - CORONIL.

Hope CORONIL will kill CORONA.
#आयुर्वेदविजय_कोरोनिल_श्वा…"
792,"All about COVID-19 India Analytics https://t.co/GfKGv8tL44
Total cases in India: 432200| No. of New Cases in India:… https://t.co/UmEzRkl4cl"
793,"#PatanjaliAyurved launched a medicine #CORONIL for COVID-19

Corona Virus be like:- https://t.co/fQlo5OOjqW"
794,Patanjali claims to cure corona in 7 days and the medicine kit contains tablets for 30 days.… https://t.co/NwypgIA9Sb
795,"RT @HumAngle_: The ruler of Kawuri Kukoki said, ""what we are going through will not allow us to see the corona, many have been raped, kille…"
796,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
797,"Coronavirus India Live Updates: COVID-19 Cases Tracker Latest News, Corona Virus Cases in India State-wise, Lockdow… https://t.co/RMQz0PsTMX"
798,"The ruler of Kawuri Kukoki said, ""what we are going through will not allow us to see the corona, many have been rap… https://t.co/lkMp8sDJje"
799,"RT @IndyLiveRadio: Today's highlights on #indyliveradio : 

10am  - Clacks WFI podcast
11am - The Locker Room 
Noon - The Corona Diaries
2p…"
800,"#Patanjali launched Covid-19 medicine #CORONIL :

Corona rn : https://t.co/qkzxBN52d5"
801,"RT @LimbuMirchi: Kopar Road #Dombivli closed/sealed for public movement @KDMCOfficial #KDMC #Kalyan #Dombivli #Corona

PC :- @Mumbaikar_Bha…"
802,"RT @SSaklany: I don't know why @thetribunechd has deleted the news about corona positive case in temple premises before Puri rath yatra.
ht…"
803,"RT @MyNation: COVID-19: While world struggles to find vaccine, Patanjali launches Coronil, claiming 100% recovery. 

#CORONIL #Corona #coro…"
804,"RT @MyNation: COVID-19: While world struggles to find vaccine, Patanjali launches Coronil, claiming 100% recovery. 

#CORONIL #Corona #coro…"
805,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
806,"RT @tamrakar72: #Patanajli launches first COVID-19 Ayurvedic medicine - CORONIL.

Hope CORONIL will kill CORONA.
#आयुर्वेदविजय_कोरोनिल_श्वा…"
807,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
808,"RT @AshutoshV10: Patanjali launches Ayurvedic drug, 'Coronil and Swasari Vati' to treat COVID-19.

It claimed 100% success rate in clinical…"
809,"RT @IndyLiveRadio: Today's highlights on #indyliveradio : 

10am  - Clacks WFI podcast
11am - The Locker Room 
Noon - The Corona Diaries
2p…"
810,"#PatanjaliAyurved launched a medicine #CORONIL for COVID-19

Corona Virus be like:- https://t.co/iDGx16oefK"
811,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
812,"RT @tamrakar72: #Patanajli launches first COVID-19 Ayurvedic medicine - CORONIL.

Hope CORONIL will kill CORONA.
#आयुर्वेदविजय_कोरोनिल_श्वा…"
813,"RT @pioneergroupfw: What is the Pioneer group slogan? Comment with your answer and stand a chance to be 1 of 10 lucky winners!

Valid 22nd…"
814,"RT @pioneergroupfw: Stand a chance to be 1 of 10 lucky winners! Follow these 2 easy steps:

1) Share our video
 
2) Follow our page

Valid…"
815,RT @Samisonlysam: Patanjali launches a medicine for the treatment of Corona. It is Named Coronil which is said to be pure herbal and is ver…
816,"RT @tamrakar72: #Patanajli launches first COVID-19 Ayurvedic medicine - CORONIL.

Hope CORONIL will kill CORONA.
#आयुर्वेदविजय_कोरोनिल_श्वा…"
817,"RT @MyNation: COVID-19: While world struggles to find vaccine, Patanjali launches Coronil, claiming 100% recovery. 

#CORONIL #Corona #coro…"
818,"Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via… https://t.co/JQZcWSwOxC"
819,I don't know why @thetribunechd has deleted the news about corona positive case in temple premises before Puri rath… https://t.co/86X5YnvUuB
820,"RT @bunnygeetha: I would really like to know who owns this store 😳🤣🤣

#COVID #COVID19 #COVID__19 #coronavirus #Corona
#3YearsForDJSensation…"
821,"RT @bunnygeetha: I would really like to know who owns this store 😳🤣🤣

#COVID #COVID19 #COVID__19 #coronavirus #Corona
#3YearsForDJSensation…"
822,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
823,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
824,"RT @SHomburg: Of course, this blows up the numbers. In his recent book, @AlexBerenson reports that in Washington, even deaths from gunshot…"
825,"RT @SHomburg: In the US, a positive test is NOT required for a „corona death“:

„COVID-19 should be reported on the death certificate for a…"
826,"#Puducherry : The number of COVID-19 containment zones have gone up to 137, majority of them are during the last th… https://t.co/a1IJpYfANY"
827,"Many people will be extremely grateful to #Corona King Clemens #Tönnies I.

The Crown jewel of #Gütersloh, the crow… https://t.co/VM7tC9SSqO"
828,RT @Samisonlysam: Patanjali launches a medicine for the treatment of Corona. It is Named Coronil which is said to be pure herbal and is ver…
829,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
830,"Coronavirus is spread all around as well as myths also.
Let us talk about some of the myths and try to clear those… https://t.co/8IFN4vNgSL"
831,RT @Samisonlysam: Patanjali launches a medicine for the treatment of Corona. It is Named Coronil which is said to be pure herbal and is ver…
832,Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are t… https://t.co/ShzEGTngLK
833,RT @DrIshanAgrawal1: @OfficeofSSC @ChouhanShivraj It's totally unfair for medical students comes under MPMSU. In this pandemic covid-19 med…
834,"RT @IndyLiveRadio: Today's highlights on #indyliveradio : 

10am  - Clacks WFI podcast
11am - The Locker Room 
Noon - The Corona Diaries
2p…"
835,"RT @Pseudopanditt: #Patanjali launch ayurvedic drug to cure covid 19 within 14 days 

Corona's condition right now : https://t.co/Z7GtXzWHuv"
836,"RT @shirodkarharshu: Positive News!

Patanjali launches 'Made in India' ayurvedic COVID-19 medicines named #CORONIL

69% patient recovered…"
837,RT @Samisonlysam: Patanjali launches a medicine for the treatment of Corona. It is Named Coronil which is said to be pure herbal and is ver…
838,"#PatanjaliAyurved launched #CORONIL, which it claims is the first Ayurvedic cure for treating COVID-19, 100% recove… https://t.co/YmEC1sYepS"
839,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
840,"RT @arifaajakia: During dangerous situation of Corona, this is Karachi. Funeral prayer of Mufti Naeem.
In March/April I had posted that Muf…"
841,"RT @TheOliveKnife: In COVID-19

CO stands for corona
VI for virus
D for disease &amp; 19 for 2019

But according to Madarsa educated Pigistan m…"
842,"RT @Memeghnad: Coronil - A drug that cures coronavirus in 14 days.

The only thing you need to do after taking the drug is keep yourself lo…"
843,#CORONIL Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said… https://t.co/aKEIO82AIH
844,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
845,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
846,"RT @tamrakar72: #Patanajli launches first COVID-19 Ayurvedic medicine - CORONIL.

Hope CORONIL will kill CORONA.
#आयुर्वेदविजय_कोरोनिल_श्वा…"
847,"#Patanajli launches first COVID-19 Ayurvedic medicine - CORONIL.

Hope CORONIL will kill CORONA.… https://t.co/Z41UkNr3UB"
848,"RT @thehonestcroock: Covid-19 Survivor Inspiring Performance Must Watch!!
Eli Schwebel - Nodeh Lecha - 20 Piece Orchestral Remote Corona ht…"
849,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
850,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
851,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
852,"RT @LimbuMirchi: Kopar Road #Dombivli closed/sealed for public movement @KDMCOfficial #KDMC #Kalyan #Dombivli #Corona

PC :- @Mumbaikar_Bha…"
853,"RT @TheOliveKnife: In COVID-19

CO stands for corona
VI for virus
D for disease &amp; 19 for 2019

But according to Madarsa educated Pigistan m…"
854,"RT @Pseudopanditt: #Patanjali launch ayurvedic drug to cure covid 19 within 14 days 

Corona's condition right now : https://t.co/Z7GtXzWHuv"
855,23 June 2020 Covid-19 last Update News Bangladesh | Corona Virus 23 June Last Update Bangladesh News https://t.co/pLslTZR0IC
856,India has founded medicine for covid-19. Indian company patanjali has claimed #CORONIL medicine for corona virus. P… https://t.co/1Ih4MvuUGM
857,"RT @ARYNEWSOFFICIAL: Experts rule against plasma, Dexamethasone, Actemra as viable COVID-19 cures
#ARYNews

https://t.co/qUpKQkFmho"
858,"RT @LimbuMirchi: Kopar Road #Dombivli closed/sealed for public movement @KDMCOfficial #KDMC #Kalyan #Dombivli #Corona

PC :- @Mumbaikar_Bha…"
859,"COVID-19: Uganda Registers 18 New Community Cases, Total Rises to 797 #COVID__19 #COVID19 #COVID19Update… https://t.co/Lst0UaQak6"
860,"RT @AfricaDataSch: “As Corona Virus (COVID-19) Pandemic continues to spread, thousands of companies are now thankful for their successful d…"
861,"RT @MyNation: COVID-19: While world struggles to find vaccine, Patanjali launches Coronil, claiming 100% recovery. 

#CORONIL #Corona #coro…"
862,#CORONIL Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said… https://t.co/SADHDxvDNq
863,"RT @GreenhamTower: As a small independent charity, we rely entirely on donations and cafe income to operate. Coronavirus has, and will, con…"
864,"RT @itsmesandeep887: #Patanjali #CORONIL #coronavirus
Ramdev claims to have made 1st medicine against Covid-19, recovery in 7 days........…"
865,"China:Issuance of purchase coupons in China's post-Corona blockchain
Cina use Chinese blockchain to run economic in… https://t.co/SRUixsOgqp"
866,"Team BEHFA about to hit Cheferie de Bafoussam- this time around. Weyyy!!! Corona must go!!!!
# beat Covid-19
""Bring… https://t.co/AvdntibFUd"
867,“Somewhere in Trinidad there is a rum shop with two men arguing that Covid 19 and corona virus is two different things.” - Robin
868,"New cases and deaths from the corona virus are declining in the country. https://t.co/mfBpKH5R4z 
#COVID__19  #Pakistan @PakPMO"
869,"“As Corona Virus (COVID-19) Pandemic continues to spread, thousands of companies are now thankful for their success… https://t.co/0T23T3tUD6"
870,"RT @hemantrajora_: Sad News : 49 years old Doctor of Fortis Escort Hospital dies of Corona Virus. 

He was sick and home quarantine for few…"
871,@LadyNordix @nytimes There is no such thing as herd-immunity with corona-virus. Antibodies decrease fast in only 2-… https://t.co/BIaLMfaNlE
872,"What do you think? Is 'CORONIL' really cure of corona??
#CORONIL #Covid_19 #PatanjaliAyurved"
873,"It was just heard that Patanjali has made the drug of COVID-19, named as #Coronil &amp; #Swasari_Vati. If this news is… https://t.co/HbtoaiaPOK"
874,"RT @MumbaiMirror: For the first time in a couple of weeks, #Maharashtra reported the lowest number of deaths in a single day.

#COVID19 #Mu…"
875,"RT @Pseudopanditt: #Patanjali launch ayurvedic drug to cure covid 19 within 14 days 

Corona's condition right now : https://t.co/Z7GtXzWHuv"
876,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
877,"RT @DistrictAdmini3: Be A Corona Warrior, Wear A Mask. Mask Up Lower Dibang Valley- a call to all citizens of the district to fight the COV…"
878,"#Patanjali
Corona after #Patanjali released #CORONIL medicine :
Covid  19 : https://t.co/OyyXM78Cnj"
879,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
880,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
881,"RT @Pseudopanditt: #Patanjali launch ayurvedic drug to cure covid 19 within 14 days 

Corona's condition right now : https://t.co/Z7GtXzWHuv"
882,"RT @akashgubrele: #Patanjali  launch Ayurvedic drug to cure Covid 19 within 14 days

#BabaRamdev to Corona : https://t.co/dTFaX4USGA"
883,How has buying a new bed changed after the Corona Virus Pandemic? We look at the options and safety measures in pla… https://t.co/wBIofOIZjC
884,"RT @MyNation: COVID-19: While world struggles to find vaccine, Patanjali launches Coronil, claiming 100% recovery. 

#CORONIL #Corona #coro…"
885,"RT @TheOliveKnife: In COVID-19

CO stands for corona
VI for virus
D for disease &amp; 19 for 2019

But according to Madarsa educated Pigistan m…"
886,"Patanjali launches clinically research based, zero mortality Corona kit, aiming at treating Respiratory complicatio… https://t.co/JTgsNP0KJH"
887,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
888,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
889,"RT @TheOliveKnife: In COVID-19

CO stands for corona
VI for virus
D for disease &amp; 19 for 2019

But according to Madarsa educated Pigistan m…"
890,RT @firstpost: One of the servitors of Shree #JagannathTemple tested positive for #COVID19 during mandatory testing of priests and police p…
891,"COVID-19
WORLDOMETER
Deaths- 474,671
Active Cases- 3,774,043
Closed Cases- 5,428,590
Recovered- 4,95,3919
Total Cas… https://t.co/cHUPCxMaML"
892,RT @firstpost: The government has decided that Muslims from #India will not travel to #SaudiArabia for #Haj2020 after the kingdom conveyed…
893,"RT @banda_pahad_ka: Ramdev Baba discovered #CORONIL for #Covid_19 
* le CORONA - https://t.co/elWaWKGxie"
894,"RT @TheOliveKnife: In COVID-19

CO stands for corona
VI for virus
D for disease &amp; 19 for 2019

But according to Madarsa educated Pigistan m…"
895,RT @firstpost: The government has decided that Muslims from #India will not travel to #SaudiArabia for #Haj2020 after the kingdom conveyed…
896,"It was just heard that Patanjali has made the drug of COVID-19, named as #Coronil &amp; #Swasari_Vati. If this news is… https://t.co/o3WWipw91O"
897,"#bignews : 
#yogi #patanjali has prepared first Ayurvedic-clinically controlled, research, evidence and trial based… https://t.co/F4lthfvjuL"
898,"RT @Pseudopanditt: #Patanjali launch ayurvedic drug to cure covid 19 within 14 days 

Corona's condition right now : https://t.co/Z7GtXzWHuv"
899,"Winnie Byanyima, the executive director of UNAIDS, warned in a global teleconference on COVID-19 and HIV on 7 May t… https://t.co/poE9l0MLm5"
900,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
901,"RT @Memeghnad: Coronil - A drug that cures coronavirus in 14 days.

The only thing you need to do after taking the drug is keep yourself lo…"
902,"RT @bunnygeetha: I would really like to know who owns this store 😳🤣🤣

#COVID #COVID19 #COVID__19 #coronavirus #Corona
#3YearsForDJSensation…"
903,"RT @abhijeet_dipke: Systematic growth in Covid-19 cases in GUJARAT. 

13 June -  517 
14 June -  511 
15 June -  514 
16 June -  524 
17 Ju…"
904,"RT @firstpost: With 14,933 people testing positive for coronavirus in a single day, #India's #COVID19 tally climbed to 4,40,215 on Tuesday…"
905,"RT @akashgubrele: #Patanjali  launch Ayurvedic drug to cure Covid 19 within 14 days

#BabaRamdev to Corona : https://t.co/dTFaX4USGA"
906,"RT @Pseudopanditt: #Patanjali launch ayurvedic drug to cure covid 19 within 14 days 

Corona's condition right now : https://t.co/Z7GtXzWHuv"
907,"@Anish_Trends Systematic growth in Covid-19 cases in GUJARAT. 

21 June -  580
22 June -  563 

Corona doesn't have… https://t.co/jV2r3tkmM4"
908,"RT @Pseudopanditt: #Patanjali launch ayurvedic drug to cure covid 19 within 14 days 

Corona's condition right now : https://t.co/Z7GtXzWHuv"
909,"RT @Pseudopanditt: #Patanjali launch ayurvedic drug to cure covid 19 within 14 days 

Corona's condition right now : https://t.co/Z7GtXzWHuv"
910,RT @MariaVSokolova: Call for Submissions: Trade Experettes COVID-19 Blog Post Series — Trade Experettes https://t.co/OecjWHamdw https://t.c…
911,"RT @IndyLiveRadio: Today's highlights on #indyliveradio : 

10am  - Clacks WFI podcast
11am - The Locker Room 
Noon - The Corona Diaries
2p…"
912,"RT @IndyLiveRadio: Today's highlights on #indyliveradio : 

10am  - Clacks WFI podcast
11am - The Locker Room 
Noon - The Corona Diaries
2p…"
913,"RT @IndyLiveRadio: Today's highlights on #indyliveradio : 

10am  - Clacks WFI podcast
11am - The Locker Room 
Noon - The Corona Diaries
2p…"
914,One of the servitors of Shree #JagannathTemple tested positive for #COVID19 during mandatory testing of priests and… https://t.co/sBQIOQbvhZ
915,"RT @bunnygeetha: I would really like to know who owns this store 😳🤣🤣

#COVID #COVID19 #COVID__19 #coronavirus #Corona
#3YearsForDJSensation…"
916,"RT @bunnygeetha: I would really like to know who owns this store 😳🤣🤣

#COVID #COVID19 #COVID__19 #coronavirus #Corona
#3YearsForDJSensation…"
917,"Today's highlights on #indyliveradio : 

10am  - Clacks WFI podcast
11am - The Locker Room 
Noon - The Corona Diari… https://t.co/vwtyLE70W8"
918,"RT @bunnygeetha: I would really like to know who owns this store 😳🤣🤣

#COVID #COVID19 #COVID__19 #coronavirus #Corona
#3YearsForDJSensation…"
919,"RT @bunnygeetha: I would really like to know who owns this store 😳🤣🤣

#COVID #COVID19 #COVID__19 #coronavirus #Corona
#3YearsForDJSensation…"
920,Every one wishing that 'Coronil' is cure of corona virus but for some reasons they can't believe it's true. Why?… https://t.co/aEFFz6Hp5m
921,@cbseindia29 cancel board exam covid-19 risk is so high in July above 6lakhs people infected due to corona Virus yo… https://t.co/EWx35vp6oz
922,"RT @bunnygeetha: I would really like to know who owns this store 😳🤣🤣

#COVID #COVID19 #COVID__19 #coronavirus #Corona
#3YearsForDJSensation…"
923,"#Patanjali 
According to #ramdevbaba #CORONIL can cure covid-19 corona virus within 14 days!  

If it works out, it… https://t.co/scBHrCJ8oe"
924,"RT @bunnygeetha: I would really like to know who owns this store 😳🤣🤣

#COVID #COVID19 #COVID__19 #coronavirus #Corona
#3YearsForDJSensation…"
925,RT @kluisenaar: Parents have converged at the Makaula senior secondary school in Mount Frere where more than 180 learners contracted the co…
926,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
927,RT @NikhilSinghBJP: #Patanjali india launches first COVID 19 ayurvedic Medicine - CORONIL  Coronil that cures corona virus within 7-14 days…
928,"RT @Pseudopanditt: #Patanjali launch ayurvedic drug to cure covid 19 within 14 days 

Corona's condition right now : https://t.co/Z7GtXzWHuv"
929,"RT @bunnygeetha: I would really like to know who owns this store 😳🤣🤣

#COVID #COVID19 #COVID__19 #coronavirus #Corona
#3YearsForDJSensation…"
930,"RT @bunnygeetha: I would really like to know who owns this store 😳🤣🤣

#COVID #COVID19 #COVID__19 #coronavirus #Corona
#3YearsForDJSensation…"
931,"RT @bunnygeetha: I would really like to know who owns this store 😳🤣🤣

#COVID #COVID19 #COVID__19 #coronavirus #Corona
#3YearsForDJSensation…"
932,"RT @bunnygeetha: I would really like to know who owns this store 😳🤣🤣

#COVID #COVID19 #COVID__19 #coronavirus #Corona
#3YearsForDJSensation…"
933,"RT @LavanyaBallal: Appalling !
Doctors don’t come for duty, No food, no water, life isn’t working at Victoria hospital Bangalore where coro…"
934,"RT @bunnygeetha: I would really like to know who owns this store 😳🤣🤣

#COVID #COVID19 #COVID__19 #coronavirus #Corona
#3YearsForDJSensation…"
935,"RT @itsmesandeep887: #Patanjali #CORONIL #coronavirus
Ramdev claims to have made 1st medicine against Covid-19, recovery in 7 days........…"
936,"RT @bunnygeetha: I would really like to know who owns this store 😳🤣🤣

#COVID #COVID19 #COVID__19 #coronavirus #Corona
#3YearsForDJSensation…"
937,"RT @Memeghnad: Coronil - A drug that cures coronavirus in 14 days.

The only thing you need to do after taking the drug is keep yourself lo…"
938,"I would really like to know who owns this store 😳🤣🤣

#COVID #COVID19 #COVID__19 #coronavirus #Corona… https://t.co/4F4dd0oLSN"
939,China gives Corona Virus to the world and India gave its cure. This is  the basic difference between two countries.… https://t.co/KOFBUn1pak
940,RT @NikhilSinghBJP: #Patanjali india launches first COVID 19 ayurvedic Medicine - CORONIL  Coronil that cures corona virus within 7-14 days…
941,"RT @htTweets: Elaborating on the details, the Yoga guru said an app will be launched for the delivery of the #corona kit.

https://t.co/r6i…"
942,"RT @itsmesandeep887: #Patanjali #CORONIL #coronavirus
Ramdev claims to have made 1st medicine against Covid-19, recovery in 7 days........…"
943,RT @NikhilSinghBJP: #Patanjali india launches first COVID 19 ayurvedic Medicine - CORONIL  Coronil that cures corona virus within 7-14 days…
944,"#Patanjali Launches Ayurvedic Drug    Coronil to Cure COVID-19

Meanwhile Baba Ramdev 
 after launching corona medi… https://t.co/bpIWer3bWn"
945,"RT @AshutoshV10: Patanjali launches Ayurvedic drug, 'Coronil and Swasari Vati' to treat COVID-19.

It claimed 100% success rate in clinical…"
946,"Baba raamdev launched medicine
For covid-19

Corona viruse be like :- https://t.co/24swUPTNi8"
947,"RT @acharyaks90: According to @yogrishiramdev Coronil is made from a mixture of Ashwagandha, Giloy and Tulsi and can be taken twice daily -…"
948,"RT @Theorigintimes: #corona #covid19 #coronatablet #vaccine @PypAyurved #CORONIL @PatanjaliDairy @yogrishiramdev 
Ramdev’s Patanjali launch…"
949,"RT @MyNation: COVID-19: While world struggles to find vaccine, Patanjali launches Coronil, claiming 100% recovery. 

#CORONIL #Corona #coro…"
950,"Patanjali prepared the first Ayurvedic-clinically controlled, research, evidence &amp; trial based medicine for COVID19… https://t.co/6HRjBKvlpq"
951,"RT @Memeghnad: Coronil - A drug that cures coronavirus in 14 days.

The only thing you need to do after taking the drug is keep yourself lo…"
952,RT @enough14: Police and #COVID19: Two of a Kind - Why One Nurse Risked Her Life to Fight the Virus and the Police - Reblogged from @crimet…
953,"RT @Theorigintimes: #corona #covid19 #coronatablet #vaccine @PypAyurved #CORONIL @PatanjaliDairy @yogrishiramdev 
Ramdev’s Patanjali launch…"
954,"RT @LimbuMirchi: Kopar Road #Dombivli closed/sealed for public movement @KDMCOfficial #KDMC #Kalyan #Dombivli #Corona

PC :- @Mumbaikar_Bha…"
955,"RT @PypAyurved: In times of Covid-19 crisis, Patanjali is distributing biscuits, juice and chywanprash to Corona Warriors who are selflessl…"
956,"RT @IndyLiveRadio: Today's highlights on #indyliveradio : 

10am  - Clacks WFI podcast
11am - The Locker Room 
Noon - The Corona Diaries
2p…"
957,Avengers arrive with a new weapon Coronil to save the world From  deadly Corona Virus Launch of first and foremost… https://t.co/2iBFB3Snix
958,"RT @Pseudopanditt: #Patanjali launch ayurvedic drug to cure covid 19 within 14 days 

Corona's condition right now : https://t.co/Z7GtXzWHuv"
959,"RT @Memeghnad: Coronil - A drug that cures coronavirus in 14 days.

The only thing you need to do after taking the drug is keep yourself lo…"
960,"RT @TweetsZarsha: After the #Covid_19 pandemic, the world is at one front, battling the disease while at the other, devising a post-corona…"
961,RT @kluisenaar: Parents have converged at the Makaula senior secondary school in Mount Frere where more than 180 learners contracted the co…
962,"RT @LavanyaBallal: Appalling !
Doctors don’t come for duty, No food, no water, life isn’t working at Victoria hospital Bangalore where coro…"
963,"RT @fnsalsaif: Peter Navarro,Trump’s trade advisor, accuses China of deliberately spreading the coronavirus abroad and sending 100000s abro…"
964,"RT @indiatvnews: Patanjali to launch ayurvedic COVID-19 drugs Swasari Vati, Coronil today; claims cure within 14 days | via @IndiaTVNews…"
965,"RT @MyNation: COVID-19: While world struggles to find vaccine, Patanjali launches Coronil, claiming 100% recovery. 

#CORONIL #Corona #coro…"
966,"RT @TheOliveKnife: In COVID-19

CO stands for corona
VI for virus
D for disease &amp; 19 for 2019

But according to Madarsa educated Pigistan m…"
967,CMS give a online classes is excelente step during covid-19 period &amp; related teachers were doing toomuch work hard… https://t.co/5Zs2SRuPAk
968,RT @videsichora: Patanjali's Corona Kit is helpful for corona patients who are NOT on ventilators. @yogrishiramdev has said we are testing…
969,"I can not believe!!😦😯

The only solution for the president of the United States regarding Corona is not to test peo… https://t.co/QgvSKYukWG"
970,@auyouthenvoy_ @YouLeadSummit Covid-19 is with us and is going to be with us. As for now it is not a time to separa… https://t.co/stPDeAbfVO
971,BREAKING NEWS: Mermaid Man tests negative for COVID-19 https://t.co/l5ZYzbv58W
972,"RT @MyNation: COVID-19: While world struggles to find vaccine, Patanjali launches Coronil, claiming 100% recovery. 

#CORONIL #Corona #coro…"
973,"RT @LavanyaBallal: Appalling !
Doctors don’t come for duty, No food, no water, life isn’t working at Victoria hospital Bangalore where coro…"
974,RT @mmnu: The Corona crisis asks for creative solutions and new forms of teaching.  All educational institutions have started with the depl…
975,"COVID-19 is having a major impact not only on Western economies, but across the world. In this paper, @MachteldO an… https://t.co/cKQgqB4LBw"
